DeviceID,DateID,BrowserID,OsID,CategoryID,NUM_OF_ACCESS,BROWSER_NAME,CATEGORY_NAME,CalendarQuarter,CalendarYear,DateAltKey,DayName,DayOfMonth,DayOfWeek,MonthName,MonthOfYear,DEVICE_NAME,DEVICE_TYPE,SCREEN_RESOLUTION,OS_NAME
178417,15,13,1,50,23,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A840SP,General_Mobile,720x1210,Android
124965,15,13,1,50,14,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A830L,General_Mobile,360x610,Android
111948,15,13,1,50,11,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,IM-A760S,General_Mobile,320x534,Android
168034,15,13,1,50,1,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HUAWEI G510-0010,General_Mobile,320x570,Android
167819,15,13,1,50,16,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Desire,General_Mobile,320x534,Android
145274,15,13,1,50,1,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,HTC Butterfly,General_Mobile,1080x1920,Android
111930,15,13,1,50,6,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,GT-S7562,General_Mobile,320x534,Android
112521,15,13,1,50,8,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,GT-S6310,General_Mobile,320x480,Android
116150,15,13,1,50,163,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,C6602,General_Mobile,360x592,Android
176231,15,13,1,50,12,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,C2105,General_Mobile,528x320,Android
145153,15,13,1,50,1,Chrome Mobile,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,A830SP,General_Mobile,720x1220,Android
142317,15,11,1,50,28,Chrome,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Nexus 7,General_Mobile,960x552,Android
88973,15,11,1,50,7,Chrome,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,ME371MG,General_Mobile,1280x736,Android
88504,15,11,40,38,1161,Chrome,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1360x768,Windows XP
146850,15,11,40,38,1,Chrome,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1360x765,Windows XP
139279,15,74,39,38,1,UC Browser,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Nokia 5130c-2,General_Desktop,800x600,Windows Vista
126784,15,34,37,38,43,IE Mobile,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Lumia 710,General_Mobile,480x800,Windows Phone
127183,15,34,37,38,1,IE Mobile,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Lumia 510,General_Mobile,480x800,Windows Phone
126815,15,74,32,38,6,UC Browser,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,480x800,Windows 8
153200,15,32,32,38,1,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,911x512,Windows 8
164547,15,21,32,38,1,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,820x461,Windows 8
88485,15,21,32,38,1,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1344x576,Windows 8
86918,15,21,32,38,4,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1093x614,Windows 8
87173,15,21,32,38,3,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1067x640,Windows 8
86330,15,21,32,38,12,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1025x576,Windows 8
164544,15,61,31,38,5,Other,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,819x614,Windows 7
88504,15,61,31,38,5,Other,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1360x768,Windows 7
87172,15,61,31,38,2,Other,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1067x600,Windows 7
87272,15,32,31,38,1,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1170x731,Windows 7
145749,15,32,31,38,1,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1164x931,Windows 7
86936,15,32,31,38,2,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1115x697,Windows 7
87647,15,32,31,38,4,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1106x829,Windows 7
86918,15,32,31,38,97,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1093x614,Windows 7
86607,15,32,31,38,1,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1067x853,Windows 7
87137,15,32,31,38,5,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1058x595,Windows 7
144885,15,32,31,38,12,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1051x591,Windows 7
138134,15,32,31,38,19,IE,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1024x640,Windows 7
86565,15,26,31,38,1,Firefox Beta,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1047x589,Windows 7
165969,15,21,31,38,2,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,981x589,Windows 7
142118,15,21,31,38,2,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,960x540,Windows 7
88504,15,21,31,38,317,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1360x768,Windows 7
87749,15,21,31,38,6,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1229x691,Windows 7
87713,15,21,31,38,3,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1207x678,Windows 7
87870,15,21,31,38,3,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1173x880,Windows 7
87869,15,21,31,38,13,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1173x733,Windows 7
88619,15,21,31,38,16,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1152x648,Windows 7
86606,15,21,31,38,4,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1067x800,Windows 7
138134,15,21,31,38,7,Firefox,Cộng đồng,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1024x640,Windows 7
117473,15,62,17,50,16,Ovi Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Nokia 311,General_Desktop,400x144,Nokia Series 40
170226,15,62,17,50,1,Ovi Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Nokia 309,General_Desktop,400x144,Nokia Series 40
143373,15,68,14,50,1,Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,982x525,Mac OS X
145129,15,68,14,50,3,Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,720x1200,Mac OS X
147537,15,68,14,50,37,Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1680x1050,Mac OS X
147537,15,28,14,50,10,Flock,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,1680x1050,Mac OS X
108547,15,74,12,50,3,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,320x480,Linux
108547,15,11,12,50,1,Chrome,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Desktop,320x480,Linux
177900,15,45,10,50,10,Mobile Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,Other,General_Mobile,640x1136,iOS
135794,15,45,10,50,1,Mobile Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,iPhone,General_Mobile,720x1281,iOS
145194,15,45,10,50,3,Mobile Safari,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,iPhone,General_Mobile,1064.0000343322754x1702.4000549316406,iOS
173155,15,7,3,50,1,BlackBerry,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,BlackBerry 8900,General_Mobile,480x360,BlackBerry OS
157552,15,74,1,50,3,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,VOTO T8100 4G,General_Mobile,480x800,Android
157544,15,74,1,50,2,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; VIVO X2,General_Mobile,480x800,Android
137318,15,74,1,50,5,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; Tender,General_Mobile,480x800,Android
135780,15,74,1,50,1,UC Browser,Đời sống,1,2014,2014-01-25,Saturday,25,7,January,1,vi; SO-03D,General_Mobile,720x1280,Android
